Trial,Match,RotationA,RotationB,Correct,RT
1,False,45,105,True,3.053664
2,True,315,435,True,2.1530250000000004
3,False,135,195,True,1.4088849999999997
4,False,45,105,True,1.8714759999999995
5,False,315,375,True,1.8590210000000003
6,True,45,105,True,1.9512840000000011
7,False,45,105,True,1.3113770000000002
8,False,225,345,False,3.4422010000000007
9,False,135,195,True,1.396371000000002
10,True,225,345,True,2.3236789999999985
11,True,225,345,True,1.0287240000000004
12,False,315,375,True,1.6750399999999992
13,False,135,195,True,1.0944810000000018
14,True,45,105,True,2.4663229999999956
15,True,315,375,True,1.485209999999995
16,False,225,345,True,1.4804010000000005
17,True,315,375,True,1.6122009999999989
18,True,135,195,True,1.6345740000000006
19,False,225,345,True,2.1197230000000005
20,True,45,165,True,1.264997000000001
21,True,45,165,True,0.9889280000000014
22,False,45,165,True,1.9005969999999976
23,False,135,195,True,1.102607000000006
24,True,225,285,True,1.6654049999999998
25,False,45,165,True,0.9810129999999972
26,False,225,285,True,1.8126460000000009
27,True,225,345,True,1.6829620000000034
28,False,45,165,True,2.7021230000000003
29,False,225,285,False,1.5297329999999931
30,True,315,435,True,1.9613720000000114
31,True,135,195,True,1.1373599999999868
32,False,315,435,True,2.2830390000000023
33,False,45,105,True,2.3736180000000076
34,False,45,105,True,0.9404559999999975
35,False,225,285,True,1.7421329999999955
36,False,225,285,True,0.7429549999999949
37,False,45,105,True,1.1891439999999989
38,True,45,105,True,1.1920960000000065
39,True,45,165,False,2.207740000000001
40,False,225,345,True,2.045659999999998
41,True,45,105,True,1.8262289999999979
42,True,225,345,True,1.5279000000000025
43,False,315,435,True,2.1936450000000036
44,False,225,345,False,1.7282969999999978
45,False,225,345,True,1.5458230000000128
46,False,135,255,True,4.475518999999991
47,True,45,105,True,2.636815999999996
48,False,45,105,True,1.3928200000000004
49,True,45,165,True,1.8561420000000055
50,True,45,165,True,2.2364049999999907
51,True,45,165,True,0.7047890000000052
52,False,315,435,True,3.3446409999999958
53,False,45,105,True,2.0037729999999954
54,True,225,345,True,2.073836
55,True,45,105,True,1.2977219999999932
56,False,45,105,True,2.543641999999977
57,False,315,435,True,2.5924960000000112
58,False,315,375,True,1.3471590000000049
59,False,45,165,True,1.4070320000000152
60,True,45,105,True,1.8538330000000087
61,False,225,285,True,1.7299560000000156
62,False,315,375,True,1.3395460000000128
63,False,45,165,True,1.4606959999999845
64,False,45,105,True,1.6573080000000004
65,True,315,435,True,2.7178989999999885
66,True,135,255,True,1.4705260000000067
67,True,225,285,True,2.6106510000000185
68,False,225,285,True,1.7440330000000017
69,False,315,375,True,1.481110000000001
70,True,225,345,True,1.6768280000000004
71,True,135,255,True,0.9764399999999966
72,False,315,375,True,1.0807810000000018
73,False,315,435,True,1.828932999999978
74,True,225,285,True,1.9509280000000047
75,True,225,345,True,2.0266359999999963
76,True,45,105,True,1.2881950000000018
77,False,225,285,True,2.299605000000014
78,False,45,105,True,1.5216099999999813
79,True,225,285,True,0.7188519999999983
80,False,225,345,True,0.8891130000000089
81,True,225,345,True,1.5649379999999837
82,True,315,435,True,1.7567229999999938
83,True,45,105,True,1.1089399999999898
84,True,225,345,True,1.1676800000000185
85,True,315,435,True,1.1277679999999748
86,True,225,285,True,1.2898659999999893
87,False,135,195,True,0.9810840000000098
88,True,135,255,True,1.1166990000000112
89,False,135,255,True,0.7348679999999774
90,True,45,105,True,1.6244689999999764
91,False,225,345,True,1.6702999999999975
92,True,225,285,True,1.0817309999999907
93,False,135,255,True,0.8773470000000145
94,False,315,375,False,2.801852999999994
95,False,225,345,True,3.3594770000000267
96,False,225,345,True,0.6299040000000105
97,True,135,255,True,1.940591000000012
98,False,225,345,True,1.6935119999999984
99,True,135,255,False,2.3938339999999982
100,False,315,435,True,1.5670390000000225
101,True,135,195,True,0.8706630000000075
102,True,225,345,True,1.197860999999989
103,False,135,255,True,0.8736169999999959
104,True,135,255,True,0.9898970000000133
105,True,225,285,True,1.2054849999999817
106,False,45,165,True,1.6041879999999935
107,False,45,165,True,0.7864419999999939
108,True,225,285,True,1.3781590000000108
109,False,135,195,True,1.9356140000000153
110,False,225,285,True,1.5388379999999984
111,True,225,285,False,0.9240379999999959
112,True,315,435,True,1.9711089999999842
113,False,135,255,True,1.6458370000000002
114,True,315,375,True,1.1627880000000062
115,True,45,165,True,1.3795999999999822
116,True,225,285,False,1.123437999999993
117,True,135,255,True,2.2856730000000027
118,True,315,435,True,1.9520610000000147
119,True,225,345,True,1.3197219999999845
120,True,315,375,True,0.6660650000000032
121,False,45,105,True,1.7106699999999933
122,True,45,165,True,0.9208410000000526
123,False,45,165,True,3.3553870000000074
124,False,45,105,True,1.8663460000000214
125,True,45,105,True,1.1496290000000045
126,True,45,165,True,1.3815060000000017
127,False,315,375,True,1.4938270000000102
128,False,225,345,True,1.5768709999999828
129,False,135,195,False,1.432799999999986
130,True,45,105,True,3.6220969999999966
131,True,45,105,True,0.6419819999999845
132,True,45,165,True,2.6240660000000275
133,False,45,165,False,1.4528909999999655
134,True,45,105,True,0.9843979999999988
135,False,225,285,True,1.7687870000000316
136,True,225,345,True,1.3223069999999666
137,True,315,375,True,1.586469999999963
138,True,45,165,True,2.3455940000000055
139,False,315,435,True,2.434180999999967
140,True,225,345,True,1.8623610000000212
141,True,135,195,True,1.3545680000000289
142,False,135,195,True,1.403173000000038
143,False,135,195,True,0.8895729999999844
144,False,135,195,True,0.5491880000000151
145,False,225,345,True,1.4785100000000284
146,False,45,165,True,0.9462619999999902
147,True,45,165,True,1.1479559999999651
148,False,225,285,True,0.9326140000000009
149,True,315,375,True,0.9981539999999995
150,False,225,345,True,1.9890080000000125
151,True,45,105,True,1.5558550000000082
152,True,225,345,True,0.8087519999999699
153,True,45,105,True,0.6831260000000157
154,True,135,195,True,1.175032999999985
155,False,135,195,False,3.055433999999991
156,False,315,435,True,1.4183489999999779
157,True,315,435,True,2.32890500000002
158,True,225,285,True,1.2334200000000237
159,False,45,165,True,1.8387879999999655
160,False,135,195,True,2.115828000000022
161,False,45,165,True,1.5009939999999915
162,True,225,345,True,1.0474669999999833
163,False,45,165,True,1.3330180000000382
164,False,45,105,False,1.0301429999999527
165,True,135,255,True,1.500472000000002
166,True,45,105,True,0.9987459999999828
167,True,45,165,True,1.3737189999999941
168,True,225,345,True,1.1976359999999886
169,True,315,375,True,0.9009199999999851
170,False,135,195,True,0.9039070000000038
171,False,315,435,True,1.850779999999986
172,True,315,435,True,0.8790070000000014
173,False,225,285,True,1.4272929999999633
174,False,315,435,True,1.0810989999999947
175,True,135,195,True,1.2999320000000125
176,True,135,255,True,0.8624740000000202
177,False,315,435,True,1.6752670000000194
178,True,315,375,True,1.2964370000000258
179,False,135,195,True,1.6839460000000486
180,False,45,105,True,1.622021000000018
181,False,135,195,True,1.0196430000000305
182,True,315,375,True,1.1379079999999817
183,False,135,195,True,0.8025369999999725
184,True,135,255,True,1.0472619999999893
185,False,315,375,True,0.8623400000000174
186,True,45,165,True,0.9632599999999911
187,True,315,435,True,1.0841760000000136
188,True,225,285,True,1.1597340000000145
189,True,315,375,True,1.1289879999999926
190,True,45,105,True,1.2104630000000043
191,True,225,285,True,0.9930709999999863
192,True,225,345,True,1.0646480000000338
193,False,135,195,True,0.9002820000000042
194,False,135,255,True,1.0230090000000018
195,False,135,255,True,0.6691529999999943
196,False,225,345,False,0.9618410000000495
197,True,45,105,True,1.0345749999999612
198,True,45,105,True,1.06412499999999
199,True,315,435,True,0.9249269999999683
200,True,45,165,True,2.047282999999993
201,False,315,435,True,1.6680399999999622
202,True,225,345,True,1.7117159999999672
203,True,315,435,True,1.0498980000000415
204,False,315,375,True,0.9747619999999984
205,False,45,165,True,2.6392470000000117
206,True,45,165,True,0.9709889999999746
207,True,315,435,True,0.7393109999999865
208,True,315,375,True,0.6689979999999878
209,True,225,345,True,0.8174920000000157
210,False,315,375,True,0.9758519999999749
211,True,45,165,True,1.2400439999999548
212,True,45,165,True,0.6419060000000059
213,True,315,375,True,0.7277369999999905
214,False,225,285,True,1.532886000000019
215,False,315,435,True,1.2935110000000236
216,True,135,255,True,0.9211479999999597
217,True,225,285,True,1.3156290000000013
218,False,135,195,True,0.6854129999999827
219,False,135,255,True,0.7291930000000093
220,True,225,345,True,1.8121430000000487
221,True,225,345,True,0.4817429999999945
222,True,225,345,True,0.5495629999999778
223,True,225,345,True,0.5508590000000027
224,True,135,255,True,1.1281470000000127
225,True,225,345,True,0.966701999999998
226,True,315,375,True,0.6982769999999618
227,True,225,285,True,0.8373770000000036
228,False,135,255,True,1.2910850000000096
229,False,45,165,False,0.8462959999999953
